Season (Which subfolder to put file in, . for show's root folder, .. for downloads folder root)	Filename (Revision3 messed up some filenames, this column is used to fix that)	Download Name (Filename that the downloader spit out, useful when downloading from youtube)	Download Link	MD5	SHA256
Season_04	hak5--0416--SSHGamesBlogsPasswords--large.h264.mp4	hak5--0416--SSHGamesBlogsPasswords--large.h264.mp4	http://videos.revision3.com/revision3/web/hak5/0416/hak5--0416--SSHGamesBlogsPasswords--large.h264.mp4	e5c5365bdba1108ec22bad4ca7f367dd	ec423169a3ce67b7f71bdcc821e9040713f0fe15778f2bf282e3a3b23561e5cd
Season_04	hak5--0417--VMwareSheepInkscape--large.h264.mp4	hak5--0417--VMwareSheepInkscape--large.h264.mp4	http://videos.revision3.com/revision3/web/hak5/0417/hak5--0417--VMwareSheepInkscape--large.h264.mp4	529e487e1858529e168e7a7d85abaf75	8501f0b26f4833b79d6b4b43077eb77c63b38551df6a1daa1ac2f26baabceee5
Season_04	hak5--0418--LaserRangeFindingFileRecover--large.h264.mp4	hak5--0418--LaserRangeFindingFileRecover--large.h264.mp4	http://videos.revision3.com/revision3/web/hak5/0418/hak5--0418--LaserRangeFindingFileRecover--large.h264.mp4	201519e1d27bd97f9bbd20ec7877af86	ce2c3fce1abfa073bb9c2df5a4895680e21fd08c10ceb5695a8ccf5bc15f1389
Season_04	hak5--0419--GPU-Brute-Force-MD5-and-Ophcrack--large.h264.mp4	hak5--0419--GPU-Brute-Force-MD5-and-Ophcrack--large.h264.mp4	http://videos.revision3.com/revision3/web/hak5/0419/hak5--0419--GPU-Brute-Force-MD5-and-Ophcrack--large.h264.mp4	1310e116d9bdf89ab02136df7cef0aee	4f8d5ff1afe7976e7910a8b86923e49d4f9d690fb421bf20b8d01aedee923fa4
Season_04	hak5--0420--ces-day-1--hd.h264.mp4	hak5--0420--ces-day-1--hd.h264.mp4	http://videos.revision3.com/revision3/web/hak5/0420/hak5--0420--ces-day-1--hd.h264.mp4	2bf167952dd35e6599f1bb2c88fff66f	3bf1f45d9522cb13e1104e013a0fb1835ba75b3a50c76b6893f7e2b5b2fe903e
Season_04	hak5--0421--CES-day2--hd.h264.mp4	hak5--0421--CES-day2--hd.h264.mp4	http://videos.revision3.com/revision3/web/hak5/0421/hak5--0421--CES-day2--hd.h264.mp4	5132ad4a3f41e8ff750154e9b65fb675	1ea86941459f46282deda9403e02effcdc564a48ab66b4026a837b3c7bc7fc0f
Season_04	hak5--0422--CES-Wrap-up--hd.h264.mp4	hak5--0422--CES-Wrap-up--hd.h264.mp4	http://videos.revision3.com/revision3/web/hak5/0422/hak5--0422--CES-Wrap-up--hd.h264.mp4	65c9c7f756cedb9266c111dea575cb6d	d8cbd05bff0b1c663322079475f212287a3f6085a97cb6097c9fa59953b71917
Season_04	hak5--0423--HackingRDP--hd.h264.mp4	hak5--0423--HackingRDP--hd.h264.mp4	http://videos.revision3.com/revision3/web/hak5/0423/hak5--0423--HackingRDP--hd.h264.mp4	285b20634efa9cf6165fabbfcf6a0de0	0f9c48313a1dac6d763db9cca87fe9291fb0663290e10a76e724ce6ca005c0a2
Season_04	hak5--0424--TwitterTamagotchi2--hd.h264.mp4	hak5--0424--TwitterTamagotchi2--hd.h264.mp4	http://videos.revision3.com/revision3/web/hak5/0424/hak5--0424--TwitterTamagotchi2--hd.h264.mp4	a7b9aeca26a7c351c3a972853d27fd55	9cd93b72bdddbf0032d89a96556713caeb70b06f92633658c268a58834c272f1
Season_04	hak5--0425--USBTracking-and-PFsense--hd.h264.mp4	hak5--0425--USBTracking-and-PFsense--hd.h264.mp4	http://videos.revision3.com/revision3/web/hak5/0425/hak5--0425--USBTracking-and-PFsense--hd.h264.mp4	9b19fba6d58b2e232cfd21f0d6cb2ba6	edd2f7a441597fb095a0d8949da2c23fc54645ada2e981ad1e47e388002f0437
Season_04	hak5--0426--Shmoocon--hd.h264.mp4	hak5--0426--Shmoocon--hd.h264.mp4	http://videos.revision3.com/revision3/web/hak5/0426/hak5--0426--Shmoocon--hd.h264.mp4	7b59d582832fbd77088c80073e8f58c7	b412ccbbc9e4ef33506e08c086aa1c5fc6a19ff849b0f8af7b2dfdbffdf2bb85
